key	value	date
Hate Crime	2	06/17/16
Hate Crime	1	06/18/16
Hate Crime	1	06/19/16
Hate Crime	1	06/20/16
Hate Crime	3	06/21/16
Hate Crime	0	06/22/16
Hate Crime	5	06/23/16
Hate Crime	0	06/24/16
Hate Crime	1	06/25/16
Hate Crime	0	06/26/16
Hate Crime	2	06/27/16
Hate Crime	2	06/28/16
Hate Crime	1	06/29/16
LGBTQ	933	06/12/16
LGBTQ	523	06/13/16
LGBTQ	373	06/14/16
LGBTQ	726	06/15/16
LGBTQ	386	06/16/16
LGBTQ	279	06/17/16
LGBTQ	223	06/18/16
LGBTQ	232	06/19/16
LGBTQ	138	06/20/16
LGBTQ	143	06/21/16
LGBTQ	129	06/22/16
LGBTQ	94	06/23/16
LGBTQ	53	06/24/16
LGBTQ	21	06/25/16
LGBTQ	47	06/26/16
LGBTQ	45	06/27/16
LGBTQ	61	06/28/16
LGBTQ	28	06/29/16
Islamophobia	28	06/12/16
Islamophobia	10	06/13/16
Islamophobia	5	06/14/16
Islamophobia	3	06/15/16
Islamophobia	0	06/16/16
Islamophobia	0	06/17/16
Islamophobia	0	06/18/16
Islamophobia	3	06/19/16
Islamophobia	0	06/20/16
Islamophobia	3	06/21/16
Islamophobia	1	06/22/16
Islamophobia	1	06/23/16
Islamophobia	2	06/24/16
Islamophobia	0	06/25/16
Islamophobia	1	06/26/16
Islamophobia	0	06/27/16
Islamophobia	0	06/28/16
Islamophobia	0	06/29/16
Islam	1044	06/12/16
Islam	629	06/13/16
Islam	319	06/14/16
Islam	361	06/15/16
Islam	494	06/16/16
Islam	167	06/17/16
Islam	166	06/18/16
Islam	101	06/19/16
Islam	211	06/20/16
Islam	160	06/21/16
Islam	82	06/22/16
Islam	77	06/23/16
Islam	29	06/24/16
Islam	13	06/25/16
Islam	25	06/26/16
Islam	33	06/27/16
Islam	24	06/28/16
Islam	31	06/29/16
